filename,age_group,gender,expression
photo01.jpg,adult,Female,Happy
photo02.jpg,adult,Male,Happy
photo03.jpg,adult,Female,Happy
photo04.jpg,elderly,Female,Sad
photo05.jpg,adult,Female,Happy
photo06.jpg,adult,Female,Happy
photo07.jpg,adult,Male,Happy
photo08.jpg,adult,Male,Happy
photo09.jpg,adult,Male,Sad
photo10.jpg,adult,Male,Sad
photo11.jpg,adult,Female,Happy
photo12.jpg,adult,Female,Happy
photo13.jpg,adult,Female,Happy
photo14.jpg,adult,Male,Sad
photo15.jpg,adult,Male,Sad
photo16.jpg,adult,Male,Sad
photo17.jpg,adult,Male,Sad
photo18.jpg,adult,Male,Sad
photo19.jpg,adult,Male,Sad
photo20.jpg,elderly,Female,Happy
