filename,gt_age_group,pred_age_group,gt_gender,pred_gender,gt_expression,pred_expression
photo19.jpg,adult,adult,Male,Male,Sad,Happy
photo20.jpg,adult,adult,Male,Male,Sad,Happy
photo21.jpg,adult,adult,Male,Male,Sad,Happy
photo01.jpg,adult,adult,Female,Male,Happy,Happy
photo02.jpg,adult,adult,Male,Male,Happy,Happy
photo03.jpg,adult,adult,Female,Male,Happy,Happy
photo04.jpg,adult,no-face,Male,no-face,Happy,no-face
photo05.jpg,elderly,adult,Female,Female,Sad,Sad
photo06.jpg,elderly,no-face,Female,no-face,Happy,no-face
photo07.jpg,adult,adult,Female,Male,Happy,Happy
photo08.jpg,adult,adult,Female,Male,Happy,Happy
photo09.jpg,adult,adult,Male,Female,Happy,Sad
photo10.jpg,adult,adult,Male,Male,Happy,Happy
photo11.jpg,adult,adult,Male,Male,Sad,Sad
photo12.jpg,adult,adult,Male,Male,Sad,Neutral
photo13.jpg,adult,adult,Female,Male,Happy,Happy
photo14.jpg,adult,adult,Female,Male,Happy,Happy
photo15.jpg,adult,adult,Female,Male,Happy,Happy
photo16.jpg,adult,adult,Male,Male,Sad,Neutral
photo17.jpg,adult,adult,Male,Male,Sad,Neutral
photo18.jpg,adult,adult,Male,Male,Sad,Neutral
