filename,age_group,gender,expression
photo01.jpg,adult,Male,Happy
photo02.jpg,adult,Male,Sad
photo03.jpg,adult,Female,Happy
photo04.jpg,adult,Female,Sad
photo05.jpg,adult,Male,Happy
photo06.jpg,adult,Female,Sad
photo07.jpg,adult,Male,Sad
photo08.jpg,adult,Female,Happy
photo09.jpg,adult,Male,Happy
photo10.jpg,adult,Female,Sad
photo11.jpg,elderly,Male,Happy
photo12.jpg,elderly,Male,Sad
photo13.jpg,elderly,Female,Happy
photo14.jpg,elderly,Female,Sad
photo15.jpg,elderly,Male,Happy
photo16.jpg,elderly,Female,Sad
photo17.jpg,elderly,Male,Sad
photo18.jpg,elderly,Female,Happy
photo19.jpg,elderly,Male,Happy
photo20.jpg,elderly,Female,Sad
